wavelength,n,k
269.0,1.6359102827547585,0.2352868690140156
269.0,1.6353990217732393,0.2359880817872974
270.0,1.631795349733327,0.2308431035522799
271.0,1.6306120962886033,0.2282196062286881
272.0,1.6264513085983208,0.23016212241424777
272.0,1.6251060474298535,0.22790318039982876
273.0,1.623412446083855,0.2254159259010097
274.0,1.6203548233624656,0.22547226278201649
275.0,1.6193902621969218,0.22699975428847208
275.0,1.6144663381780795,0.22570716333990146
276.0,1.6124221960179705,0.22441122685126486
277.0,1.6095817673103423,0.22443342351269566
278.0,1.6078245494829264,0.225779001237579
278.0,1.6070219924535032,0.22606054650256555
279.0,1.6027118711677468,0.2266115128943318
280.0,1.5988173774809453,0.2258122486576585
281.0,1.5961262054517644,0.22672873882348477
281.0,1.5944009910109582,0.22692762332638247
282.0,1.5962656228588112,0.22693414634106193
283.0,1.5942467468594197,0.22728957202990777
283.0,1.5914167066632017,0.22897363686852476
284.0,1.5942761276630992,0.23009468162623806
285.0,1.5905631838829506,0.2309896180167942
286.0,1.5909384875313375,0.23094318432690025
286.0,1.5883613521044124,0.23112299055696373
287.0,1.5861937818653438,0.23258102878402995
288.0,1.58630443408621,0.23340712058126414
289.0,1.5804527587435349,0.23463173902049783
289.0,1.5803787522426405,0.23445875035439348
290.0,1.579534860875932,0.23472342830697743
291.0,1.5756878399406804,0.23555847380333525
292.0,1.569264630393144,0.2367954144960089
292.0,1.5679606908408115,0.23691840932872218
293.0,1.5679606908408115,0.237450673507229
294.0,1.5647150863528554,0.23730239465136585
295.0,1.5617773987679364,0.2381374765153417
295.0,1.5611637851558546,0.23787908587346815
296.0,1.5592016693334487,0.2376755405493959
297.0,1.5571471450348395,0.2375506633927175
298.0,1.5555331800901804,0.2378975618305086
298.0,1.5561113916239944,0.23789060176482885
299.0,1.55297752495007,0.23764983489520186
300.0,1.5524433231219124,0.23773915333478648
301.0,1.5514647370394394,0.23787263394594182
301.0,1.549942951398868,0.2379012048132619
302.0,1.5504101917803128,0.2381573063209704
303.0,1.548894918644757,0.23869550850691354
303.0,1.54665321627388,0.23904204908847057
304.0,1.5467891699053542,0.23935971320863159
305.0,1.5458523559303268,0.23964387240020626
306.0,1.5439921360266817,0.24054568409435162
306.0,1.5441964176121974,0.2411654756284253
307.0,1.543182304871189,0.24186600268689162
308.0,1.5452098536705765,0.24255171388198635
309.0,1.54190234092307,0.2433470464177191
309.0,1.5439164692019187,0.24385809976387465
310.0,1.543500234150567,0.24442262437789233
311.0,1.5420387201977155,0.24533456287943553
312.0,1.54243263535993,0.2458755618498055
312.0,1.543719717788267,0.24630605038280368
313.0,1.544877157997337,0.24667470200096733
314.0,1.5438180966864403,0.24721084183754607
315.0,1.5456256212746176,0.24718773808712316
315.0,1.5454820052627918,0.24736057129189712
316.0,1.546373718212633,0.24752211149114484
317.0,1.5435229408294042,0.24758758116192084
318.0,1.5471290013738868,0.24709527063342904
318.0,1.5484423116487638,0.24681066689479744
319.0,1.550493074654967,0.24641749273080732
320.0,1.549189042351762,0.24611168337592573
320.0,1.5514421470849866,0.2455876824980885
321.0,1.5518336602714988,0.24496669767185317
322.0,1.5502444128274009,0.24437695397734022
323.0,1.5509676828124646,0.24349680752056146
323.0,1.5508622267812584,0.24266534366148337
324.0,1.552691636618381,0.24147972255083514
325.0,1.5542859328482912,0.2403027097701744
326.0,1.5567194148599235,0.23897349502443985
326.0,1.5581222450399896,0.23768952630906248
327.0,1.558234718667625,0.23634833157537627
328.0,1.5562840636437814,0.23523344293886095
329.0,1.5571321388850115,0.23382776495004082
329.0,1.558871921548063,0.23203643431393903
330.0,1.5603178186110485,0.23025748584534847
331.0,1.5601530661819365,0.22875653291600612
332.0,1.5616801338707864,0.22700268699309384
332.0,1.5619270258228657,0.2252011596542801
333.0,1.5617923620868472,0.22351621725706836
334.0,1.5627123446077325,0.22172810912421886
334.0,1.5633851773781933,0.21981428790254176
335.0,1.5639531341456832,0.21793769313788341
336.0,1.5633627540332802,0.21625553603501158
337.0,1.5657603354676297,0.21425873189606096
337.0,1.5636019207107767,0.21249162000120783
338.0,1.5659245294088384,0.21056466202355711
339.0,1.564595587542794,0.2089609631642043
340.0,1.5678265142928918,0.20694592028327372
340.0,1.568452580332007,0.20513064783839313
341.0,1.5705898966665126,0.20340509651722
342.0,1.5726056067416025,0.20158522442405533
343.0,1.5758956013366383,0.19973308504165269
343.0,1.5763481389728158,0.19807867497452245
344.0,1.577156481099303,0.19639155154159416
345.0,1.5800678914064221,0.19462129109724344
346.0,1.5799124406548264,0.19306416160440418
346.0,1.5784979545304274,0.1917602793729042
347.0,1.5812296420096599,0.19027881715444567
348.0,1.5815994679602143,0.18891704757080352
348.0,1.5832479659907257,0.18745129801444832
349.0,1.5859503234440364,0.18592401100040815
350.0,1.5871894117062,0.18471382827522012
351.0,1.58971663398427,0.1834195805959966
351.0,1.591887449469344,0.18212637227088657
352.0,1.5914534876967772,0.1811023302101445
353.0,1.5915932490484155,0.18010665678902907
354.0,1.5930343918582652,0.17898476870212762
354.0,1.5965957815566556,0.17797598881825424
355.0,1.5985095859499625,0.1769439482270493
356.0,1.5985975313756153,0.1759773653017645
357.0,1.6037427661810404,0.1747060409371382
357.0,1.6095307492143678,0.17365330923741915
358.0,1.6133026609054018,0.17290485750329668
359.0,1.6133390356945714,0.17227713430655642
360.0,1.6124076397276654,0.17162786589561752
360.0,1.6136663800869464,0.17100166438092074
361.0,1.6191943957763388,0.170093589295717
362.0,1.6192451776887529,0.16960792854755277
362.0,1.6150770084436303,0.16925488792329066
363.0,1.6160508038037018,0.16854965391789245
364.0,1.6203548233624656,0.1679571810512652
365.0,1.6189985113380894,0.1676916675133119
365.0,1.6169515254885605,0.16716511708721793
366.0,1.6174017419111584,0.16670764342672206
367.0,1.6192306686944784,0.1663220112159843
368.0,1.616668275562448,0.16605892580565454
368.0,1.619056553051192,0.16553352773718064
369.0,1.6200357686168518,0.16537911303414526
370.0,1.620586833311829,0.1650085258688473
371.0,1.6208768104364466,0.1648683055076197
371.0,1.6201082852380357,0.16477521326741512
372.0,1.6223985490640187,0.16447303307337657
373.0,1.621985611971513,0.16427492925180115
373.0,1.6213261975796467,0.16378695934965756
374.0,1.624635734499319,0.16315731477399478
375.0,1.6269935199367012,0.16294171905749835
376.0,1.625171159711703,0.16244318766849314
