NR9 ordinary,n,k
831,1.543089,0.728521
832,1.546201,0.731392
833,1.549346,0.734199
834,1.552523,0.736939
835,1.555726,0.739615
836,1.558953,0.742227
837,1.562201,0.744777
838,1.565468,0.747265
839,1.568751,0.749692
840,1.572048,0.752062
841,1.575357,0.754373
842,1.578676,0.756628
843,1.582004,0.758828
844,1.585339,0.760974
845,1.588678,0.763067
846,1.592022,0.765107
847,1.595367,0.767097
848,1.598713,0.769036
849,1.602058,0.770926
850,1.605399,0.772769
851,1.608737,0.774564
852,1.612069,0.776314
853,1.615393,0.778019
854,1.618709,0.77968
855,1.622014,0.781298
856,1.625307,0.782874
857,1.628586,0.78441
858,1.63185,0.785906
859,1.635095,0.787364
860,1.638322,0.788785
861,1.641527,0.790169
862,1.644707,0.79152
863,1.647861,0.792838
864,1.650985,0.794124
865,1.654075,0.795383
866,1.657126,0.796619
867,1.660138,0.797838
868,1.663111,0.799047
869,1.666044,0.800249
870,1.668939,0.801449
871,1.671796,0.802653
872,1.674616,0.803863
873,1.677402,0.805084
874,1.680155,0.80632
875,1.682877,0.807574
876,1.685569,0.80885
877,1.688235,0.810151
878,1.690876,0.811479
879,1.693496,0.812839
880,1.696096,0.814232
881,1.69868,0.815661
882,1.701251,0.81713
883,1.703812,0.818639
884,1.706365,0.820192
885,1.708916,0.82179
886,1.711466,0.823435
887,1.71402,0.825129
888,1.716581,0.826874
889,1.719153,0.828671
890,1.721741,0.830522
891,1.724349,0.832427
892,1.726981,0.834387
893,1.729642,0.836404
894,1.732338,0.838477
895,1.735074,0.840607
896,1.737857,0.842794
897,1.740694,0.845033
898,1.74359,0.847322
899,1.746549,0.849654
900,1.749573,0.852027
901,1.752666,0.854436
902,1.755828,0.856878
903,1.759062,0.859351
904,1.76237,0.861849
905,1.765752,0.864371
906,1.769211,0.866914
907,1.772747,0.869474
908,1.776362,0.872048
909,1.780056,0.874635
910,1.78383,0.877231
911,1.787685,0.879834
912,1.791621,0.882441
913,1.79564,0.88505
914,1.799742,0.887659
915,1.803927,0.890264
916,1.808195,0.892865
917,1.812549,0.895458
918,1.816986,0.898042
919,1.82151,0.900615
920,1.826118,0.903174
921,1.830813,0.905717
922,1.835595,0.908242
923,1.840464,0.910748
924,1.84542,0.913232
925,1.850465,0.915693
926,1.8556,0.918128
927,1.860823,0.920536
928,1.866138,0.922915
929,1.871545,0.925261
930,1.877047,0.927574
931,1.882644,0.929848
932,1.888338,0.93208
933,1.894128,0.934265
934,1.900015,0.9364
935,1.905996,0.938479
936,1.912071,0.940502
937,1.918238,0.942463
938,1.924497,0.944359
939,1.930847,0.946189
940,1.937285,0.947949
941,1.94381,0.949636
