Ell with T and measured substrate Opt. Const. of B-Spline vs. nm, n (E with T amd substrate),k (E with T and substrate measured)
631.837036,1.01776,5.71776
633.426025,1.021199,5.730783
635.015015,1.02459,5.743753
636.603882,1.027932,5.75667
638.192627,1.031225,5.769533
639.781311,1.034471,5.782344
641.369934,1.037671,5.795107
642.958435,1.040826,5.807826
644.546814,1.043936,5.820501
646.135132,1.047005,5.833138
647.72345,1.050032,5.845738
649.311584,1.053019,5.858305
650.899597,1.055967,5.870841
652.48761,1.058877,5.883348
654.075439,1.06175,5.895828
655.663208,1.064588,5.908286
657.250854,1.067391,5.920722
658.838501,1.07016,5.933138
660.425903,1.072896,5.945537
662.013306,1.0756,5.957922
663.600586,1.078273,5.970293
665.187805,1.080916,5.982652
666.774841,1.08353,5.995002
668.361877,1.086115,6.007344
669.94873,1.088673,6.01968
671.535522,1.091203,6.032011
673.122192,1.093708,6.044339
674.70874,1.096187,6.056665
676.295227,1.098642,6.068991
677.881531,1.101073,6.081317
679.467834,1.103481,6.093647
681.053955,1.105866,6.105979
682.640015,1.108229,6.118316
684.225952,1.110571,6.130659
685.811707,1.112893,6.143009
687.397461,1.115194,6.155366
688.983032,1.117476,6.167733
690.568542,1.119739,6.180109
692.153931,1.121984,6.192495
693.739136,1.124211,6.204893
695.324341,1.126421,6.217304
696.909302,1.128614,6.229726
698.494263,1.130791,6.242163
700.079041,1.132952,6.254614
701.663696,1.135098,6.26708
703.248291,1.13723,6.279562
704.832764,1.139347,6.29206
706.417114,1.14145,6.304575
708.001282,1.143539,6.317106
709.585327,1.145615,6.329655
711.169312,1.147679,6.342223
712.753174,1.149731,6.354808
714.336853,1.151771,6.367413
715.920471,1.153799,6.380036
717.503967,1.155816,6.39268
719.08728,1.157822,6.405343
720.670532,1.159818,6.418025
722.253601,1.161804,6.430729
723.836548,1.16378,6.443453
725.419373,1.165747,6.456197
727.002075,1.167705,6.468963
728.584656,1.169653,6.48175
730.167114,1.171594,6.494558
731.749451,1.173525,6.507387
733.331665,1.175449,6.520238
734.913696,1.177366,6.53311
736.495605,1.179275,6.546004
738.077393,1.181176,6.558919
739.659058,1.183071,6.571856
741.24054,1.184959,6.584815
742.821899,1.186841,6.597796
744.403198,1.188716,6.610798
745.984253,1.190586,6.623821
747.565247,1.192449,6.636867
749.146057,1.194308,6.649933
