wavelength,n,k
704,1.857447184,0.65344
703,1.855932814,0.64758
702,1.854458202,0.64171
701,1.852871651,0.63586
700,1.851310087,0.62995
699,1.849674444,0.62407
698,1.848105938,0.61821
697,1.846416919,0.61239
696,1.844748629,0.60658
695,1.843117955,0.60084
694,1.84146161,0.59515
693,1.839880886,0.58953
692,1.838392715,0.58398
691,1.836929581,0.57855
690,1.835552743,0.57321
689,1.834082698,0.56798
688,1.832652493,0.56284
687,1.831226224,0.55782
686,1.82989689,0.55291
685,1.828512335,0.54817
684,1.827157102,0.54352
683,1.825791023,0.53905
682,1.824378128,0.53475
681,1.822958584,0.53064
680,1.82165301,0.52673
679,1.820296374,0.52305
678,1.81901355,0.51962
677,1.817728351,0.51645
676,1.816409003,0.51356
675,1.815068193,0.51096
674,1.81371438,0.50866
673,1.812235226,0.5067
672,1.810728153,0.50507
671,1.80920586,0.50385
670,1.807640758,0.50302
669,1.806013713,0.50261
668,1.804350137,0.50265
667,1.8027158,0.50319
666,1.801059761,0.50423
665,1.79937987,0.5058
664,1.797633606,0.50792
663,1.79586766,0.5106
662,1.794133033,0.51389
661,1.792319156,0.51779
660,1.790485513,0.52232
659,1.788570355,0.52749
658,1.786511837,0.53333
657,1.784539824,0.53985
656,1.782520165,0.54703
655,1.78044853,0.55488
654,1.778324841,0.5634
653,1.776189559,0.57257
652,1.774006369,0.58237
651,1.771828581,0.59278
650,1.769587821,0.60373
649,1.767341699,0.61518
648,1.765070945,0.62708
647,1.762796905,0.63935
646,1.760463895,0.65192
645,1.75810608,0.66471
644,1.755716972,0.67763
643,1.753294356,0.69058
642,1.750885363,0.70344
641,1.748590907,0.71612
640,1.746112565,0.7285
639,1.743486525,0.74051
638,1.740708169,0.75203
637,1.737867563,0.76295
636,1.734895596,0.7732
635,1.73185877,0.78269
634,1.728672724,0.79135
633,1.725388866,0.79919
632,1.721898778,0.80615
631,1.718271051,0.81222
630,1.714583189,0.81732
629,1.71079805,0.8215
628,1.706932598,0.8248
627,1.703012555,0.82722
626,1.699026746,0.82872
625,1.695014064,0.82939
624,1.690943745,0.82924
623,1.68674332,0.82836
622,1.68258943,0.82671
621,1.678409821,0.82436
620,1.674177913,0.82135
619,1.669992295,0.81774
618,1.665822226,0.81355
617,1.661678685,0.80888
616,1.657521909,0.80379
615,1.653471207,0.79834
614,1.649511459,0.79255
613,1.645618574,0.78651
612,1.64183946,0.78028
611,1.638161199,0.77389
610,1.634637705,0.76741
609,1.631437124,0.76091
608,1.628408686,0.75441
607,1.625557515,0.74796
606,1.62295152,0.74162
605,1.620499518,0.73542
604,1.618348062,0.7294
603,1.616446317,0.72359
602,1.614806199,0.71801
601,1.613417054,0.71274
600,1.612198252,0.70775
599,1.611213223,0.70309
598,1.610502897,0.69878
597,1.609957019,0.69476
596,1.609614079,0.69107
595,1.6094471,0.68771
594,1.609496744,0.68467
593,1.609742688,0.68192
592,1.610112677,0.67946
591,1.610606643,0.67723
590,1.61116813,0.67521
589,1.611731718,0.67339
588,1.6123943,0.67169
587,1.612986838,0.67008
586,1.613597222,0.66855
585,1.614133131,0.66703
584,1.614630637,0.66546
583,1.615173031,0.66385
582,1.615672539,0.66214
581,1.616045968,0.66027
580,1.616390093,0.65827
579,1.616677945,0.65609
578,1.616844342,0.65371
577,1.617008477,0.65114
576,1.617084919,0.64835
575,1.61704445,0.64533
574,1.616914044,0.64207
573,1.616554263,0.63858
572,1.616048217,0.63484
571,1.61540255,0.63092
570,1.614680156,0.62678
569,1.613777375,0.62245
568,1.612860684,0.61793
567,1.611891749,0.61325
566,1.610802842,0.60844
565,1.609711101,0.60353
564,1.608566851,0.5985
563,1.607376779,0.59338
562,1.606118196,0.58819
561,1.604815851,0.58295
560,1.603370064,0.57768
559,1.601909631,0.57237
558,1.600305302,0.56703
557,1.598608899,0.56171
556,1.596829255,0.55642
555,1.595066146,0.55116
554,1.593208121,0.54593
553,1.591277661,0.54076
552,1.58943185,0.53566
551,1.587568228,0.53068
550,1.585718712,0.52581
549,1.583963367,0.52103
548,1.58216512,0.51635
547,1.580404025,0.51179
546,1.578625135,0.50735
545,1.576816907,0.50303
544,1.575098742,0.49883
543,1.573411087,0.49473
542,1.571742508,0.49073
541,1.570081524,0.48685
540,1.568368163,0.48305
539,1.566722348,0.47934
538,1.564996319,0.47573
