Opt. Const. of ZnO (GenOsc) vs. nm nm,n,k
633.426025,1.571551,0.000009
635.015015,1.571356,0.000009
636.603882,1.571162,0.000009
638.192627,1.57097,0.000009
639.781311,1.57078,0.000009
641.369934,1.570592,0.000009
642.958435,1.570406,0.000008
644.546814,1.570221,0.000008
646.135132,1.570039,0.000008
647.72345,1.569857,0.000008
649.311584,1.569678,0.000008
650.899597,1.5695,0.000008
652.48761,1.569324,0.000008
654.075439,1.569149,0.000008
655.663208,1.568977,0.000007
657.250854,1.568805,0.000007
658.838501,1.568635,0.000007
660.425903,1.568467,0.000007
662.013306,1.5683,0.000007
663.600586,1.568135,0.000007
665.187805,1.567971,0.000007
666.774841,1.567809,0.000007
668.361877,1.567648,0.000007
669.94873,1.567489,0.000006
671.535522,1.567331,0.000006
673.122192,1.567174,0.000006
674.70874,1.567019,0.000006
676.295227,1.566865,0.000006
677.881531,1.566713,0.000006
679.467834,1.566561,0.000006
681.053955,1.566411,0.000006
682.640015,1.566263,0.000006
684.225952,1.566115,0.000006
685.811707,1.565969,0.000006
687.397461,1.565824,0.000006
688.983032,1.565681,0.000005
690.568542,1.565538,0.000005
692.153931,1.565397,0.000005
693.739136,1.565257,0.000005
695.324341,1.565118,0.000005
696.909302,1.564981,0.000005
698.494263,1.564844,0.000005
700.079041,1.564709,0.000005
701.663696,1.564574,0.000005
703.248291,1.564441,0.000005
704.832764,1.564309,0.000005
706.417114,1.564178,0.000005
708.001282,1.564048,0.000005
709.585327,1.563919,0.000005
711.169312,1.563791,0.000004
712.753174,1.563665,0.000004
714.336853,1.563539,0.000004
715.920471,1.563414,0.000004
717.503967,1.56329,0.000004
719.08728,1.563167,0.000004
720.670532,1.563046,0.000004
722.253601,1.562925,0.000004
723.836548,1.562805,0.000004
725.419373,1.562686,0.000004
727.002075,1.562568,0.000004
728.584656,1.562451,0.000004
730.167114,1.562334,0.000004
731.749451,1.562219,0.000004
733.331665,1.562105,0.000004
734.913696,1.561991,0.000004
736.495605,1.561879,0.000004
738.077393,1.561767,0.000004
739.659058,1.561656,0.000004
741.24054,1.561546,0.000004
742.821899,1.561437,0.000003
744.403198,1.561328,0.000003
745.984253,1.561221,0.000003
747.565247,1.561114,0.000003
749.146057,1.561008,0.000003
750.726685,1.560903,0.000003
752.307251,1.560798,0.000003
753.887634,1.560695,0.000003
755.467896,1.560592,0.000003
757.047974,1.56049,0.000003
758.627991,1.560389,0.000003
760.207825,1.560288,0.000003
761.787476,1.560188,0.000003
763.367065,1.560089,0.000003
764.946411,1.559991,0.000003
766.525635,1.559893,0.000003
768.104736,1.559796,0.000003
769.683655,1.5597,0.000003
771.262451,1.559604,0.000003
772.841064,1.559509,0.000003
774.419556,1.559415,0.000003
775.997925,1.559322,0.000003
777.57605,1.559229,0.000003
779.154114,1.559137,0.000003
780.731995,1.559045,0.000003
782.309692,1.558954,0.000003
783.887268,1.558864,0.000003
785.464661,1.558774,0.000003
787.04187,1.558685,0.000002
788.619019,1.558597,0.000002
790.195923,1.558509,0.000002
791.772705,1.558422,0.000002
793.349304,1.558336,0.000002
794.92572,1.55825,0.000002
796.502075,1.558165,0.000002
798.078186,1.55808,0.000002
799.654114,1.557996,0.000002
801.229858,1.557913,0.000002
802.805542,1.55783,0.000002
804.380981,1.557748,0.000002
805.956299,1.557666,0.000002
807.531372,1.557585,0.000002
809.106384,1.557504,0.000002
810.681152,1.557424,0.000002
812.255798,1.557345,0.000002
813.8302,1.557266,0.000002
815.404541,1.557187,0.000002
816.978638,1.557109,0.000002
818.552551,1.557032,0.000002
820.126343,1.556955,0.000002
821.69989,1.556879,0.000002
823.273315,1.556803,0.000002
824.846558,1.556727,0.000002
826.419617,1.556653,0.000002
827.992493,1.556578,0.000002
829.565247,1.556504,0.000002
831.137695,1.556431,0.000002
832.710083,1.556358,0.000002
834.282227,1.556286,0.000002
835.854187,1.556214,0.000002
837.426086,1.556142,0.000002
838.997681,1.556071,0.000002
840.569153,1.556,0.000002
842.14032,1.55593,0.000002
843.711426,1.555861,0.000002
845.282349,1.555791,0.000002
846.853027,1.555723,0.000002
848.423523,1.555654,0.000002
849.993835,1.555586,0.000002
851.563965,1.555519,0.000002
853.133911,1.555452,0.000002
854.703735,1.555385,0.000002
856.273254,1.555319,0.000002
857.84259,1.555253,0.000002
859.411804,1.555188,0.000002
860.980774,1.555123,0.000002
862.549622,1.555058,0.000002
864.118164,1.554994,0.000002
865.686646,1.55493,0.000001
867.254761,1.554867,0.000001
868.822876,1.554804,0.000001
870.390625,1.554741,0.000001
871.958191,1.554679,0.000001
873.525696,1.554617,0.000001
875.092896,1.554556,0.000001
876.659851,1.554495,0.000001
878.226685,1.554434,0.000001
879.793335,1.554374,0.000001
881.359741,1.554314,0.000001
882.925964,1.554254,0.000001
884.491882,1.554195,0.000001
886.057739,1.554136,0.000001
887.623352,1.554077,0.000001
