Opt. Const. of James_ITO_Genosc- nm,n,k
1654.097046,0.314993,1.590264
1657.528687,0.315331,1.598297
1660.960205,0.315679,1.606306
1664.391235,0.316035,1.61429
1667.821899,0.3164,1.62225
1671.252197,0.316773,1.630186
1674.682007,0.317154,1.638098
1678.111572,0.317544,1.645988
1681.540649,0.317941,1.653854
1684.96936,0.318347,1.661697
1688.397705,0.318759,1.669519
