Opt. Const. of Gen-Osc vs. nm nm,n,k
702,1.517703,0
703,1.517677,0
704,1.51765,0
705,1.517624,0
706,1.517598,0
707,1.517572,0
708,1.517546,0
709,1.51752,0
710,1.517494,0
711,1.517468,0
712,1.517442,0
713,1.517416,0
714,1.51739,0
715,1.517365,0
716,1.517339,0
717,1.517313,0
718,1.517288,0
719,1.517262,0
720,1.517237,0
721,1.517212,0
722,1.517186,0
723,1.517161,0
724,1.517136,0
725,1.51711,0
726,1.517085,0
727,1.51706,0
728,1.517035,0
729,1.51701,0
730,1.516985,0
731,1.51696,0
732,1.516935,0
733,1.51691,0
734,1.516885,0
735,1.516861,0
736,1.516836,0
737,1.516811,0
738,1.516787,0
739,1.516762,0
740,1.516737,0
741,1.516713,0
742,1.516688,0
743,1.516664,0
744,1.516639,0
745,1.516615,0
746,1.516591,0
747,1.516567,0
748,1.516542,0
749,1.516518,0
750,1.516494,0
751,1.51647,0
752,1.516446,0
753,1.516422,0
754,1.516398,0
755,1.516374,0
756,1.51635,0
757,1.516326,0
758,1.516302,0
759,1.516278,0
760,1.516254,0
761,1.516231,0
762,1.516207,0
763,1.516183,0
764,1.51616,0
765,1.516136,0
766,1.516112,0
767,1.516089,0
768,1.516065,0
769,1.516042,0
770,1.516018,0
771,1.515995,0
772,1.515972,0
773,1.515948,0
774,1.515925,0
775,1.515902,0
776,1.515878,0
777,1.515855,0
778,1.515832,0
779,1.515809,0
780,1.515786,0
781,1.515763,0
782,1.51574,0
783,1.515717,0
784,1.515694,0
785,1.515671,0
786,1.515648,0
787,1.515625,0
788,1.515602,0
789,1.515579,0
790,1.515556,0
791,1.515533,0
792,1.515511,0
793,1.515488,0
794,1.515465,0
795,1.515442,0
796,1.51542,0
797,1.515397,0
798,1.515374,0
799,1.515352,0
800,1.515329,0
801,1.515307,0
802,1.515284,0
803,1.515262,0
804,1.515239,0
805,1.515217,0
806,1.515195,0
807,1.515172,0
808,1.51515,0
809,1.515127,0
810,1.515105,0
811,1.515083,0
812,1.515061,0
813,1.515038,0
814,1.515016,0
815,1.514994,0
816,1.514972,0
817,1.51495,0
818,1.514928,0
819,1.514905,0
820,1.514883,0
821,1.514861,0
822,1.514839,0
823,1.514817,0
824,1.514795,0
825,1.514773,0
826,1.514751,0
827,1.514729,0
828,1.514708,0
829,1.514686,0
830,1.514664,0
831,1.514642,0
832,1.51462,0
833,1.514598,0
834,1.514577,0
835,1.514555,0
836,1.514533,0
837,1.514511,0
838,1.51449,0
839,1.514468,0
840,1.514446,0
841,1.514425,0
842,1.514403,0
843,1.514381,0
844,1.51436,0
845,1.514338,0
846,1.514317,0
847,1.514295,0
848,1.514274,0
849,1.514252,0
850,1.514231,0
851,1.514209,0
852,1.514188,0
853,1.514166,0
854,1.514145,0
855,1.514124,0
856,1.514102,0
857,1.514081,0
858,1.514059,0
859,1.514038,0
860,1.514017,0
861,1.513995,0
862,1.513974,0
863,1.513953,0
864,1.513932,0
865,1.51391,0
866,1.513889,0
867,1.513868,0
868,1.513847,0
869,1.513826,0
870,1.513804,0
871,1.513783,0
872,1.513762,0
873,1.513741,0
874,1.51372,0
875,1.513699,0
876,1.513678,0
877,1.513657,0
878,1.513636,0
879,1.513615,0
880,1.513594,0
881,1.513572,0
882,1.513551,0
883,1.51353,0
884,1.51351,0
885,1.513489,0
886,1.513468,0
887,1.513447,0
888,1.513426,0
889,1.513405,0
890,1.513384,0
891,1.513363,0
892,1.513342,0
893,1.513321,0
894,1.5133,0
895,1.51328,0
896,1.513259,0
897,1.513238,0
898,1.513217,0
899,1.513196,0
900,1.513175,0
901,1.513155,0
902,1.513134,0
903,1.513113,0
904,1.513092,0
905,1.513072,0
906,1.513051,0
907,1.51303,0
908,1.513009,0
909,1.512989,0
910,1.512968,0
911,1.512947,0
912,1.512927,0
913,1.512906,0
914,1.512885,0
915,1.512865,0
916,1.512844,0
917,1.512823,0
918,1.512803,0
919,1.512782,0
920,1.512762,0
921,1.512741,0
922,1.51272,0
923,1.5127,0
924,1.512679,0
925,1.512659,0
926,1.512638,0
927,1.512618,0
928,1.512597,0
929,1.512577,0
930,1.512556,0
931,1.512535,0
932,1.512515,0
933,1.512494,0
934,1.512474,0
935,1.512454,0
936,1.512433,0
937,1.512413,0
938,1.512392,0
939,1.512372,0
940,1.512351,0
941,1.512331,0
942,1.51231,0
943,1.51229,0
944,1.512269,0
945,1.512249,0
946,1.512229,0
947,1.512208,0
948,1.512188,0
949,1.512167,0
950,1.512147,0
951,1.512127,0
952,1.512106,0
953,1.512086,0
954,1.512065,0
955,1.512045,0
956,1.512025,0
957,1.512004,0
958,1.511984,0
959,1.511964,0
960,1.511943,0
961,1.511923,0
962,1.511903,0
963,1.511882,0
964,1.511862,0
965,1.511842,0
966,1.511821,0
967,1.511801,0
968,1.511781,0
969,1.51176,0
970,1.51174,0
971,1.51172,0
972,1.511699,0
973,1.511679,0
974,1.511659,0
975,1.511639,0
976,1.511618,0
977,1.511598,0
978,1.511578,0
979,1.511557,0
980,1.511537,0
981,1.511517,0
982,1.511497,0
983,1.511477,0
984,1.511456,0
985,1.511436,0
986,1.511416,0
987,1.511395,0
988,1.511375,0
989,1.511355,0
990,1.511335,0
991,1.511315,0
992,1.511294,0
993,1.511274,0
994,1.511254,0
995,1.511234,0
996,1.511213,0
997,1.511193,0
998,1.511173,0
999,1.511153,0
1000,1.511132,0
1002.5,1.511082,0
1005,1.511031,0
1007.5,1.510981,0
1010,1.51093,0
1012.5,1.51088,0
1015,1.510829,0
1017.5,1.510779,0
1020,1.510728,0
1022.5,1.510678,0
1025,1.510627,0
1027.5,1.510577,0
1030,1.510526,0
1032.5,1.510476,0
1035,1.510425,0
1037.5,1.510375,0
1040,1.510324,0
1042.5,1.510274,0
1045,1.510224,0
1047.5,1.510173,0
1050,1.510122,0
1052.5,1.510072,0
1055,1.510021,0
1057.5,1.509971,0
1060,1.50992,0
1062.5,1.50987,0
1065,1.509819,0
1067.5,1.509768,0
1070,1.509718,0
1072.5,1.509667,0
1075,1.509617,0
1077.5,1.509566,0
1080,1.509515,0
1082.5,1.509465,0
1085,1.509414,0
1087.5,1.509363,0
1090,1.509312,0
1092.5,1.509262,0
1095,1.509211,0
1097.5,1.50916,0
1100,1.509109,0
1102.5,1.509058,0
1105,1.509008,0
1107.5,1.508957,0
1110,1.508906,0
1112.5,1.508855,0
1115,1.508804,0
1117.5,1.508753,0
1120,1.508702,0
1122.5,1.508651,0
1125,1.5086,0
1127.5,1.508548,0
1130,1.508497,0
1132.5,1.508446,0
1135,1.508395,0
1137.5,1.508344,0
1140,1.508292,0
1142.5,1.508241,0
1145,1.50819,0
1147.5,1.508138,0
1150,1.508087,0
1152.5,1.508036,0
1155,1.507984,0
1157.5,1.507933,0
1160,1.507881,0
1162.5,1.50783,0
1165,1.507778,0
1167.5,1.507726,0
1170,1.507675,0
1172.5,1.507623,0
1175,1.507571,0
1177.5,1.507519,0
1180,1.507467,0
1182.5,1.507416,0
1185,1.507364,0
1187.5,1.507312,0
1190,1.50726,0
1192.5,1.507208,0
1195,1.507155,0
1197.5,1.507103,0
1200,1.507051,0
1202.5,1.506999,0
1205,1.506947,0
1207.5,1.506894,0
1210,1.506842,0
1212.5,1.50679,0
1215,1.506737,0
1217.5,1.506685,0
1220,1.506632,0
1222.5,1.506579,0
1225,1.506527,0
1227.5,1.506474,0
1230,1.506421,0
1232.5,1.506369,0
1235,1.506316,0
1237.5,1.506263,0
1240,1.50621,0
1242.5,1.506157,0
1245,1.506104,0
1247.5,1.506051,0
1250,1.505998,0
1252.5,1.505944,0
1255,1.505891,0
1257.5,1.505838,0
1260,1.505785,0
1262.5,1.505731,0
1265,1.505678,0
1267.5,1.505624,0
1270,1.505571,0
1272.5,1.505517,0
1275,1.505463,0
1277.5,1.50541,0
1280,1.505356,0
1282.5,1.505302,0
1285,1.505248,0
1287.5,1.505194,0
1290,1.50514,0
1292.5,1.505086,0
1295,1.505032,0
1297.5,1.504978,0
1300,1.504924,0
1302.5,1.504869,0
1305,1.504815,0
1307.5,1.504761,0
1310,1.504706,0
1312.5,1.504652,0
1315,1.504597,0
1317.5,1.504542,0
1320,1.504488,0
1322.5,1.504433,0
1325,1.504378,0
1327.5,1.504323,0
1330,1.504268,0
1332.5,1.504213,0
1335,1.504158,0
1337.5,1.504103,0
1340,1.504048,0
1342.5,1.503992,0
1345,1.503937,0
1347.5,1.503882,0
1350,1.503826,0
1352.5,1.503771,0
1355,1.503715,0
1357.5,1.50366,0
1360,1.503604,0
1362.5,1.503548,0
1365,1.503492,0
1367.5,1.503436,0
1370,1.50338,0
1372.5,1.503324,0
1375,1.503268,0
1377.5,1.503212,0
1380,1.503156,0
1382.5,1.5031,0
1385,1.503043,0
1387.5,1.502987,0
